index,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Years Active,Renewals per Checkouts,User Count,Average_Checkouts
2568,ADULT,0,0,20-24,Chinatown,January,2015,email,True,2015,False,0,0.0,194,0.0
2427,ADULT,0,0,35-44,Mission,January,2010,email,True,2010,False,0,0.0,350,0.0
2416,YOUNG ADULT,54,0,10-19,Chinatown,January,2015,print,False,2011,False,4,0.0,194,0.27835051546391754
2385,ADULT,2,0,35-44,Main Library,January,2013,email,True,2012,False,1,0.0,1242,0.001610305958132045
2983,ADULT,0,0,25-34,Richmond,January,2015,email,True,2012,False,3,0.0,248,0.0
3764,ADULT,1,0,25-34,Richmond,January,2014,email,True,2012,False,2,0.0,248,0.004032258064516129
4081,ADULT,1,2,25-34,Richmond,January,2014,email,True,2013,False,1,2.0,248,0.004032258064516129
4670,ADULT,13,2,35-44,Richmond,January,2015,email,True,2012,False,3,0.15,248,0.05241935483870968
413,ADULT,6,3,25-34,Main Library,January,2015,email,True,2014,False,1,0.5,1242,0.004830917874396135
106,YOUNG ADULT,19,0,10-19,Chinatown,January,2015,phone,False,2014,False,1,0.0,194,0.0979381443298969
281,ADULT,24,20,35-44,Chinatown,January,2014,email,True,2009,False,5,0.83,194,0.12371134020618557
3460,ADULT,1,0,20-24,Mission,January,2013,email,True,2012,False,1,0.0,350,0.002857142857142857
517,JUVENILE,135,1,10-19,Chinatown,January,2015,email,True,2012,False,3,0.01,194,0.6958762886597938
637,ADULT,6,1,60-64,Chinatown,January,2008,print,False,2007,False,1,0.17,194,0.030927835051546393
2638,ADULT,12,0,45-54,Main Library,January,2014,phone,False,2008,False,6,0.0,1242,0.00966183574879227
669,YOUNG ADULT,193,2,10-19,Chinatown,January,2015,print,False,2007,False,8,0.01,194,0.9948453608247423
2615,ADULT,6,6,35-44,Main Library,January,2015,email,True,2013,False,2,1.0,1242,0.004830917874396135
2529,ADULT,58,3,25-34,Main Library,January,2014,email,True,2011,False,3,0.05,1242,0.04669887278582931
453,ADULT,37,9,25-34,Main Library,January,2015,email,True,2011,False,4,0.24,1242,0.029790660225442835
2490,YOUNG ADULT,1,0,10-19,Main Library,January,2015,email,True,2015,False,0,0.0,1242,0.0008051529790660225
562,JUVENILE,20,2,0-9,Mission,January,2014,email,True,2012,False,2,0.1,350,0.05714285714285714
1849,YOUNG ADULT,1482,648,10-19,Chinatown,January,2014,email,True,2008,False,6,0.44,194,7.639175257731959
2415,ADULT,59,0,45-54,Main Library,January,2015,email,True,2005,False,10,0.0,1242,0.04750402576489533
2369,ADULT,33,0,45-54,Main Library,January,2015,email,True,2010,False,5,0.0,1242,0.026570048309178744
2941,ADULT,68,56,25-34,Richmond,January,2015,email,True,2009,False,6,0.82,248,0.27419354838709675
4016,ADULT,4,6,10-19,Chinatown,January,2015,phone,True,2012,False,3,1.5,194,0.020618556701030927
2059,ADULT,1,2,45-54,Main Library,January,2015,email,True,2014,False,1,2.0,1242,0.0008051529790660225
1432,ADULT,71,21,25-34,Main Library,January,2014,email,True,2013,False,1,0.3,1242,0.0571658615136876
3223,ADULT,4,1,65-74,Excelsior,January,2015,email,True,2011,False,4,0.25,247,0.016194331983805668
3232,ADULT,7,0,10-19,Excelsior,January,2013,email,True,2008,False,5,0.0,247,0.02834008097165992
1313,ADULT,6,3,45-54,Main Library,January,2014,email,True,2012,False,2,0.5,1242,0.004830917874396135
3858,ADULT,7,0,35-44,Excelsior,January,2014,print,False,2013,False,1,0.0,247,0.02834008097165992
3886,ADULT,12,0,25-34,Excelsior,January,2015,email,True,2009,False,6,0.0,247,0.048582995951417005
3916,JUVENILE,15,0,0-9,Excelsior,January,2015,phone,False,2014,False,1,0.0,247,0.06072874493927125
1232,ADULT,10,2,25-34,Main Library,January,2014,email,True,2013,False,1,0.2,1242,0.008051529790660225
3998,ADULT,185,13,45-54,Excelsior,January,2014,email,True,2006,False,8,0.07,247,0.7489878542510121
4087,ADULT,35,12,45-54,Excelsior,January,2014,email,True,2005,False,9,0.34,247,0.1417004048582996
4146,JUVENILE,69,43,10-19,Excelsior,January,2014,email,True,2010,False,4,0.62,247,0.2793522267206478
1187,ADULT,2,4,20-24,Main Library,January,2014,email,True,2013,False,1,2.0,1242,0.001610305958132045
1130,ADULT,1,3,25-34,Main Library,January,2014,email,True,2013,False,1,3.0,1242,0.0008051529790660225
885,ADULT,3,0,20-24,Main Library,January,2015,email,True,2014,False,1,0.0,1242,0.0024154589371980675
77,ADULT,279,76,25-34,Mission,January,2013,print,False,2006,False,7,0.27,350,0.7971428571428572
125,JUVENILE,14,0,0-9,Mission,January,2013,email,True,2012,False,1,0.0,350,0.04
987,ADULT,102,0,25-34,Main Library,January,2011,email,True,2006,False,5,0.0,1242,0.0821256038647343
983,ADULT,2,0,25-34,Main Library,January,2013,email,True,2012,False,1,0.0,1242,0.001610305958132045
561,ADULT,29,45,25-34,Mission,January,2014,email,True,2012,False,2,1.55,350,0.08285714285714285
1630,ADULT,19,3,25-34,Mission,January,2015,phone,False,2013,False,2,0.16,350,0.054285714285714284
2062,ADULT,0,0,25-34,Main Library,January,2015,email,True,2014,False,1,0.0,1242,0.0
2464,ADULT,2,0,25-34,Excelsior,January,2015,phone,False,2014,False,1,0.0,247,0.008097165991902834
1801,ADULT,36,12,45-54,Mission,January,2014,phone,True,2009,False,5,0.33,350,0.10285714285714286
2040,ADULT,0,0,25-34,Main Library,January,2014,email,True,2014,False,0,0.0,1242,0.0
2000,ADULT,10,10,35-44,Main Library,January,2014,email,True,2011,False,3,1.0,1242,0.008051529790660225
1980,ADULT,1,0,55-59,Main Library,January,2013,email,True,2012,False,1,0.0,1242,0.0008051529790660225
2277,YOUNG ADULT,20,0,10-19,Mission,January,2014,email,True,2010,False,4,0.0,350,0.05714285714285714
1967,JUVENILE,5,5,0-9,Main Library,January,2015,print,False,2013,False,2,1.0,1242,0.004025764895330112
4716,ADULT,16,0,55-59,Chinatown,January,2014,print,False,2006,False,8,0.0,194,0.08247422680412371
365,JUVENILE,620,8,10-19,Excelsior,January,2015,email,True,2009,False,6,0.01,247,2.5101214574898787
407,ADULT,1,0,55-59,Excelsior,January,2013,phone,False,2012,False,1,0.0,247,0.004048582995951417
2193,ADULT,2,0,20-24,Mission,January,2014,email,True,2012,False,2,0.0,350,0.005714285714285714
2120,YOUNG ADULT,11,0,10-19,Mission,January,2014,phone,True,2013,False,1,0.0,350,0.03142857142857143
1771,ADULT,7,3,25-34,Main Library,January,2014,email,True,2008,False,6,0.43,1242,0.005636070853462158
545,ADULT,3,0,25-34,Excelsior,January,2015,email,True,2014,False,1,0.0,247,0.012145748987854251
2104,ADULT,1,4,25-34,Mission,January,2013,email,True,2009,False,4,4.0,350,0.002857142857142857
2075,ADULT,18,0,35-44,Mission,January,2014,email,True,2013,False,1,0.0,350,0.05142857142857143
2064,ADULT,0,0,25-34,Mission,January,2015,email,True,2015,False,0,0.0,350,0.0
1053,ADULT,37,3,55-59,Excelsior,January,2014,phone,False,2012,False,2,0.08,247,0.14979757085020243
1620,ADULT,5,4,25-34,Main Library,January,2015,email,True,2014,False,1,0.8,1242,0.004025764895330112
1339,ADULT,6,6,25-34,Excelsior,January,2015,email,True,2012,False,3,1.0,247,0.024291497975708502
1562,ADULT,5,4,35-44,Main Library,January,2015,email,True,2014,False,1,0.8,1242,0.004025764895330112
1996,YOUNG ADULT,2,0,10-19,Excelsior,January,2013,email,True,2012,False,1,0.0,247,0.008097165991902834
3598,ADULT,21,19,45-54,Mission,January,2014,email,True,2005,False,9,0.9,350,0.06
1812,ADULT,267,379,25-34,Chinatown,January,2014,email,True,2007,False,7,1.42,194,1.3762886597938144
2263,ADULT,5,0,10-19,Richmond,January,2013,email,True,2012,False,1,0.0,248,0.020161290322580645
264,ADULT,193,108,25-34,Richmond,January,2015,email,True,2006,False,9,0.56,248,0.7782258064516129
153,ADULT,12,8,25-34,Richmond,January,2014,email,True,2011,False,3,0.67,248,0.04838709677419355
3976,ADULT,16,0,25-34,Mission,January,2015,email,True,2014,False,1,0.0,350,0.045714285714285714
4003,ADULT,25,18,35-44,Mission,January,2015,email,True,2008,False,7,0.72,350,0.07142857142857142
4026,YOUNG ADULT,9,1,10-19,Mission,January,2013,phone,False,2012,False,1,0.11,350,0.025714285714285714
3661,ADULT,10,13,25-34,Main Library,January,2015,email,True,2011,False,4,1.3,1242,0.008051529790660225
4136,ADULT,1,1,20-24,Mission,January,2013,email,True,2012,False,1,1.0,350,0.002857142857142857
4723,JUVENILE,778,414,10-19,Main Library,January,2014,email,True,2009,False,5,0.53,1242,0.6264090177133655
3690,ADULT,1,1,25-34,Main Library,January,2012,email,True,2011,False,1,1.0,1242,0.0008051529790660225
4676,ADULT,3,0,35-44,Main Library,January,2014,email,True,2009,False,5,0.0,1242,0.0024154589371980675
4649,ADULT,3,2,20-24,Main Library,January,2015,email,True,2015,False,0,0.67,1242,0.0024154589371980675
3775,ADULT,5,0,45-54,Main Library,January,2014,email,True,2013,False,1,0.0,1242,0.004025764895330112
3923,ADULT,64,8,35-44,Mission,January,2013,email,True,2012,False,1,0.12,350,0.18285714285714286
3838,SENIOR,383,0,65-74,Main Library,January,2014,phone,False,2012,False,2,0.0,1242,0.3083735909822866
3849,ADULT,5,7,35-44,Main Library,January,2014,email,True,2010,False,4,1.4,1242,0.004025764895330112
3908,YOUNG ADULT,1,0,10-19,Main Library,January,2013,email,True,2012,False,1,0.0,1242,0.0008051529790660225
4538,JUVENILE,13,0,0-9,Main Library,January,2014,email,True,2013,False,1,0.0,1242,0.010466988727858293
4516,ADULT,354,43,35-44,Main Library,January,2015,email,True,2014,False,1,0.12,1242,0.28502415458937197
3981,ADULT,3,0,25-34,Main Library,January,2013,email,True,2012,False,1,0.0,1242,0.0024154589371980675
4023,ADULT,2,0,65-74,Main Library,January,2015,email,True,2014,False,1,0.0,1242,0.001610305958132045
4808,ADULT,86,7,35-44,Mission,January,2015,print,False,2005,False,10,0.08,350,0.24571428571428572
4062,ADULT,0,0,25-34,Main Library,January,2013,print,False,2013,False,0,0.0,1242,0.0
4387,ADULT,130,42,65-74,Main Library,January,2015,phone,False,2009,False,6,0.32,1242,0.10466988727858294
4365,ADULT,13,15,25-34,Main Library,January,2014,phone,False,2012,False,2,1.15,1242,0.010466988727858293
4940,ADULT,95,4,45-54,Mission,January,2015,phone,False,2012,False,3,0.04,350,0.2714285714285714
4301,ADULT,8,11,35-44,Main Library,January,2011,email,True,2007,False,4,1.38,1242,0.00644122383252818
4596,YOUNG ADULT,8,0,10-19,Mission,January,2014,email,True,2011,False,3,0.0,350,0.022857142857142857
3289,ADULT,36,21,35-44,Main Library,January,2014,email,True,2011,False,3,0.58,1242,0.028985507246376812
926,ADULT,3,0,60-64,Main Library,January,2015,print,False,2008,False,7,0.0,1242,0.0024154589371980675
3209,ADULT,12,0,25-34,Main Library,January,2015,email,True,2014,False,1,0.0,1242,0.00966183574879227
3736,ADULT,66,14,25-34,Mission,January,2014,email,True,2008,False,6,0.21,350,0.18857142857142858
2123,ADULT,0,0,10-19,Richmond,January,2013,email,True,2012,False,1,0.0,248,0.0
3153,ADULT,9,1,25-34,Main Library,January,2015,email,True,2014,False,1,0.11,1242,0.007246376811594203
3241,ADULT,3,0,35-44,Main Library,January,2014,email,True,2014,False,0,0.0,1242,0.0024154589371980675
1786,ADULT,2,0,45-54,Richmond,January,2013,email,True,2012,False,1,0.0,248,0.008064516129032258
331,ADULT,4,1,25-34,Main Library,January,2013,email,True,2012,False,1,0.25,1242,0.00322061191626409
301,ADULT,6,0,55-59,Main Library,January,2015,phone,False,2014,False,1,0.0,1242,0.004830917874396135
1151,JUVENILE,38,0,10-19,Richmond,January,2015,email,True,2011,False,4,0.0,248,0.1532258064516129
1403,ADULT,13,17,25-34,Main Library,February,2015,email,True,2014,False,1,1.31,1242,0.010466988727858293
3935,ADULT,3,3,25-34,Main Library,February,2015,email,True,2015,False,0,1.0,1242,0.0024154589371980675
3152,YOUNG ADULT,2,0,10-19,Excelsior,February,2014,email,True,2013,False,1,0.0,247,0.008097165991902834
1395,SENIOR,135,1,65-74,Main Library,February,2015,email,True,2008,False,7,0.01,1242,0.10869565217391304
2799,SENIOR,5,3,75+,Main Library,February,2011,phone,False,2008,False,3,0.6,1242,0.004025764895330112
2658,JUVENILE,18,29,0-9,Excelsior,February,2013,print,False,2012,False,1,1.61,247,0.0728744939271255
2886,ADULT,36,43,25-34,Excelsior,February,2013,email,True,2008,False,5,1.19,247,0.145748987854251
3273,YOUNG ADULT,109,3,10-19,Main Library,February,2015,email,True,2005,False,10,0.03,1242,0.08776167471819646
2344,YOUNG ADULT,2,0,10-19,Excelsior,February,2014,email,True,2014,False,0,0.0,247,0.008097165991902834
4112,YOUNG ADULT,194,72,10-19,Richmond,February,2013,email,True,2009,False,4,0.37,248,0.782258064516129
2187,ADULT,64,26,25-34,Excelsior,February,2015,email,True,2009,False,6,0.41,247,0.2591093117408907
4754,ADULT,1,0,45-54,Richmond,February,2015,phone,False,2013,False,2,0.0,248,0.004032258064516129
52,ADULT,10,0,45-54,Chinatown,February,2014,email,True,2013,False,1,0.0,194,0.05154639175257732
1619,ADULT,2,0,25-34,Main Library,February,2014,email,True,2013,False,1,0.0,1242,0.001610305958132045
3837,ADULT,5,0,20-24,Main Library,February,2015,email,True,2011,False,4,0.0,1242,0.004025764895330112
1297,YOUNG ADULT,58,0,10-19,Excelsior,February,2013,phone,False,2005,False,8,0.0,247,0.23481781376518218
1647,SENIOR,48,64,65-74,Main Library,February,2014,email,True,2007,False,7,1.33,1242,0.03864734299516908
1658,ADULT,44,12,35-44,Main Library,February,2014,email,True,2007,False,7,0.27,1242,0.03542673107890499
4617,ADULT,35,66,35-44,Main Library,February,2014,email,True,2011,False,3,1.89,1242,0.02818035426731079
3793,ADULT,2,0,20-24,Main Library,February,2014,phone,False,2010,False,4,0.0,1242,0.001610305958132045
2351,ADULT,27,43,55-59,Excelsior,February,2014,email,True,2011,False,3,1.59,247,0.10931174089068826
4454,ADULT,5,3,35-44,Main Library,February,2014,email,True,2011,False,3,0.6,1242,0.004025764895330112
3133,ADULT,9,0,45-54,Main Library,February,2013,email,True,2013,False,0,0.0,1242,0.007246376811594203
4400,ADULT,55,4,55-59,Main Library,February,2008,email,True,2005,False,3,0.07,1242,0.04428341384863124
935,ADULT,24,3,55-59,Main Library,February,2014,phone,False,2013,False,1,0.12,1242,0.01932367149758454
4207,ADULT,12,0,25-34,Main Library,February,2013,email,True,2013,False,0,0.0,1242,0.00966183574879227
951,ADULT,2,0,45-54,Main Library,February,2014,print,False,2014,False,0,0.0,1242,0.001610305958132045
961,ADULT,174,195,25-34,Main Library,February,2015,email,True,2012,False,3,1.12,1242,0.14009661835748793
4217,ADULT,0,0,35-44,Main Library,February,2015,phone,False,2015,False,0,0.0,1242,0.0
4165,ADULT,4,0,25-34,Main Library,February,2013,phone,False,2012,False,1,0.0,1242,0.00322061191626409
1006,ADULT,9,0,25-34,Main Library,February,2015,email,True,2014,False,1,0.0,1242,0.007246376811594203
1018,ADULT,207,130,35-44,Main Library,February,2014,phone,False,2007,False,7,0.63,1242,0.16666666666666666
4128,ADULT,91,0,45-54,Main Library,February,2015,email,True,2007,False,8,0.0,1242,0.07326892109500806
4284,JUVENILE,1,0,10-19,Main Library,February,2015,phone,False,2013,False,2,0.0,1242,0.0008051529790660225
3075,ADULT,7,0,45-54,Main Library,February,2014,phone,False,2013,False,1,0.0,1242,0.005636070853462158
74,ADULT,37,0,35-44,Mission,February,2013,email,True,2008,False,5,0.0,350,0.10571428571428572
4635,ADULT,3,0,45-54,Main Library,February,2013,email,True,2013,False,0,0.0,1242,0.0024154589371980675
50,ADULT,1054,191,45-54,Mission,February,2014,phone,False,2005,False,9,0.18,350,3.0114285714285716
2953,YOUNG ADULT,27,3,10-19,Main Library,February,2015,phone,False,2014,False,1,0.11,1242,0.021739130434782608
4566,ADULT,1,0,25-34,Excelsior,February,2014,email,True,2014,False,0,0.0,247,0.004048582995951417
1170,ADULT,31,39,60-64,Main Library,February,2015,email,True,2010,False,5,1.26,1242,0.0249597423510467
4308,ADULT,82,6,25-34,Excelsior,February,2015,email,True,2011,False,4,0.07,247,0.3319838056680162
4090,ADULT,69,0,20-24,Main Library,February,2014,email,True,2013,False,1,0.0,1242,0.05555555555555555
2902,YOUNG ADULT,61,0,10-19,Main Library,February,2015,phone,False,2012,False,3,0.0,1242,0.04911433172302738
4375,ADULT,1,0,35-44,Main Library,February,2014,email,True,2014,False,0,0.0,1242,0.0008051529790660225
2893,ADULT,4,2,35-44,Main Library,February,2015,email,True,2008,False,7,0.5,1242,0.00322061191626409
2867,ADULT,7,0,20-24,Main Library,February,2015,email,True,2011,False,4,0.0,1242,0.005636070853462158
3922,SENIOR,1,0,75+,Excelsior,February,2015,phone,False,2014,False,1,0.0,247,0.004048582995951417
4048,JUVENILE,1,0,10-19,Main Library,February,2015,email,True,2015,False,0,0.0,1242,0.0008051529790660225
2194,ADULT,3,0,35-44,Richmond,February,2015,email,True,2014,False,1,0.0,248,0.012096774193548387
1082,ADULT,10,3,45-54,Main Library,February,2015,email,True,2014,False,1,0.3,1242,0.008051529790660225
1682,ADULT,2,0,25-34,Main Library,February,2015,email,True,2015,False,0,0.0,1242,0.001610305958132045
1912,ADULT,67,2,45-54,Richmond,February,2013,email,True,2010,False,3,0.03,248,0.2701612903225806
613,ADULT,4,0,25-34,Excelsior,February,2014,email,True,2009,False,5,0.0,247,0.016194331983805668
2175,JUVENILE,14,0,0-9,Main Library,February,2015,email,True,2013,False,2,0.0,1242,0.011272141706924315
4966,ADULT,4,0,25-34,Main Library,February,2015,email,True,2014,False,1,0.0,1242,0.00322061191626409
2189,ADULT,2,0,45-54,Main Library,February,2014,email,True,2014,False,0,0.0,1242,0.001610305958132045
3244,SENIOR,7,0,65-74,Chinatown,February,2014,print,False,2014,False,0,0.0,194,0.03608247422680412
3507,ADULT,25,29,25-34,Main Library,February,2014,email,True,2011,False,3,1.16,1242,0.020128824476650563
2494,SENIOR,3,3,75+,Main Library,February,2015,email,True,2006,False,9,1.0,1242,0.0024154589371980675
2240,JUVENILE,17,0,0-9,Main Library,February,2015,email,True,2013,False,2,0.0,1242,0.013687600644122383
2242,ADULT,9,11,35-44,Main Library,February,2014,email,True,2008,False,6,1.22,1242,0.007246376811594203
1409,ADULT,14,0,60-64,Richmond,February,2014,email,True,2009,False,5,0.0,248,0.056451612903225805
3483,ADULT,110,0,35-44,Main Library,February,2015,print,False,2007,False,8,0.0,1242,0.08856682769726248
2279,SENIOR,25,2,65-74,Main Library,February,2014,phone,False,2012,False,2,0.08,1242,0.020128824476650563
2148,SENIOR,1,0,65-74,Main Library,February,2009,email,True,2009,False,0,0.0,1242,0.0008051529790660225
326,ADULT,429,533,25-34,Richmond,February,2014,email,True,2008,False,6,1.24,248,1.7298387096774193
2973,ADULT,102,1,35-44,Chinatown,February,2015,email,True,2013,False,2,0.01,194,0.5257731958762887
395,ADULT,2,1,25-34,Richmond,February,2013,email,True,2012,False,1,0.5,248,0.008064516129032258
3435,ADULT,4,0,35-44,Main Library,February,2013,email,True,2012,False,1,0.0,1242,0.00322061191626409
594,ADULT,137,203,45-54,Richmond,February,2015,email,True,2009,False,6,1.48,248,0.5524193548387096
1353,ADULT,16,14,25-34,Richmond,February,2014,email,True,2013,False,1,0.88,248,0.06451612903225806
733,ADULT,93,17,45-54,Richmond,February,2015,email,True,2014,False,1,0.18,248,0.375
780,ADULT,3,0,25-34,Richmond,February,2013,email,True,2013,False,0,0.0,248,0.012096774193548387
2422,ADULT,3,0,60-64,Chinatown,February,2013,email,True,2013,False,0,0.0,194,0.015463917525773196
3362,ADULT,4,12,35-44,Main Library,February,2015,email,True,2014,False,1,3.0,1242,0.00322061191626409
3334,ADULT,143,345,25-34,Main Library,February,2014,email,True,2008,False,6,2.41,1242,0.11513687600644122
2372,ADULT,39,29,60-64,Main Library,February,2015,email,True,2005,False,10,0.74,1242,0.03140096618357488
3002,ADULT,1,0,25-34,Chinatown,February,2013,email,True,2013,False,0,0.0,194,0.005154639175257732
2147,ADULT,28,2,45-54,Main Library,February,2015,email,True,2008,False,7,0.07,1242,0.02254428341384863
3575,SENIOR,27,26,65-74,Main Library,February,2009,email,True,2007,False,2,0.96,1242,0.021739130434782608
2139,ADULT,50,20,55-59,Main Library,February,2013,phone,False,2013,False,0,0.4,1242,0.040257648953301126
1757,ADULT,5,5,25-34,Main Library,February,2015,email,True,2014,False,1,1.0,1242,0.004025764895330112
4639,ADULT,104,31,25-34,Main Library,February,2015,email,True,2005,False,10,0.3,1242,0.08373590982286634
3180,JUVENILE,117,13,0-9,Main Library,February,2015,email,True,2012,False,3,0.11,1242,0.09420289855072464
1774,ADULT,5,0,20-24,Main Library,February,2014,email,True,2014,False,0,0.0,1242,0.004025764895330112
418,YOUNG ADULT,223,144,10-19,Excelsior,February,2015,email,True,2008,False,7,0.65,247,0.902834008097166
4666,ADULT,71,112,25-34,Main Library,February,2014,phone,True,2013,False,1,1.58,1242,0.0571658615136876
3725,ADULT,81,1,25-34,Main Library,February,2014,email,True,2011,False,3,0.01,1242,0.06521739130434782
292,ADULT,12,2,45-54,Excelsior,February,2008,phone,False,2007,False,1,0.17,247,0.048582995951417005
1845,ADULT,11,0,20-24,Main Library,February,2015,email,True,2014,False,1,0.0,1242,0.008856682769726247
4886,JUVENILE,56,2,0-9,Chinatown,February,2015,print,False,2014,False,1,0.04,194,0.28865979381443296
3709,ADULT,9,19,25-34,Main Library,February,2014,email,True,2013,False,1,2.11,1242,0.007246376811594203
4693,ADULT,2,2,25-34,Chinatown,February,2014,email,True,2013,False,1,1.0,194,0.010309278350515464
3708,ADULT,0,0,35-44,Main Library,February,2014,email,True,2014,False,0,0.0,1242,0.0
3702,ADULT,97,158,25-34,Main Library,February,2013,email,True,2008,False,5,1.63,1242,0.07809983896940419
2420,ADULT,21,25,25-34,Richmond,February,2015,phone,False,2013,False,2,1.19,248,0.0846774193548387
4198,SENIOR,38,13,65-74,Chinatown,February,2015,email,True,2008,False,7,0.34,194,0.1958762886597938
3697,ADULT,29,17,45-54,Main Library,February,2015,email,True,2010,False,5,0.59,1242,0.023349436392914653
3201,ADULT,1,4,25-34,Main Library,February,2015,email,True,2014,False,1,4.0,1242,0.0008051529790660225
3670,ADULT,17,0,45-54,Main Library,February,2015,print,False,2011,False,4,0.0,1242,0.013687600644122383
3225,ADULT,118,99,35-44,Main Library,February,2014,email,True,2012,False,2,0.84,1242,0.09500805152979067
4806,ADULT,6,0,25-34,Main Library,February,2014,email,True,2013,False,1,0.0,1242,0.004830917874396135
3600,ADULT,1,0,25-34,Main Library,February,2014,email,True,2011,False,3,0.0,1242,0.0008051529790660225
3599,ADULT,655,16,35-44,Main Library,February,2013,email,True,2008,False,5,0.02,1242,0.5273752012882448
4859,ADULT,5,0,25-34,Main Library,February,2015,email,True,2014,False,1,0.0,1242,0.004025764895330112
2541,ADULT,16,1,35-44,Main Library,February,2015,email,True,2011,False,4,0.06,1242,0.01288244766505636
4638,ADULT,79,65,25-34,Main Library,February,2015,email,True,2009,False,6,0.82,1242,0.06360708534621579
4705,ADULT,12,18,25-34,Main Library,February,2013,email,True,2012,False,1,1.5,1242,0.00966183574879227
2085,ADULT,5,0,35-44,Main Library,February,2009,email,True,2008,False,1,0.0,1242,0.004025764895330112
3470,ADULT,4,0,35-44,Mission,February,2011,email,True,2010,False,1,0.0,350,0.011428571428571429
4633,ADULT,34,107,35-44,Mission,February,2014,email,True,2008,False,6,3.15,350,0.09714285714285714
843,ADULT,2,1,45-54,Main Library,February,2013,email,True,2012,False,1,0.5,1242,0.001610305958132045
4765,ADULT,1,0,35-44,Mission,February,2014,print,False,2009,False,5,0.0,350,0.002857142857142857
550,ADULT,220,7,60-64,Main Library,February,2015,print,False,2013,False,2,0.03,1242,0.17713365539452497
726,JUVENILE,0,0,10-19,Main Library,February,2015,email,True,2015,False,0,0.0,1242,0.0
1227,JUVENILE,2,0,0-9,Mission,February,2013,email,True,2013,False,0,0.0,350,0.005714285714285714
450,ADULT,4,3,20-24,Main Library,February,2014,email,True,2013,False,1,0.75,1242,0.00322061191626409
2697,JUVENILE,24,0,10-19,Mission,February,2014,phone,False,2010,False,4,0.0,350,0.06857142857142857
1584,ADULT,1,0,35-44,Mission,February,2013,email,True,2013,False,0,0.0,350,0.002857142857142857
2822,ADULT,3,0,25-34,Mission,February,2014,email,True,2008,False,6,0.0,350,0.008571428571428572
804,ADULT,4,0,25-34,Mission,February,2015,email,True,2009,False,6,0.0,350,0.011428571428571429
917,ADULT,112,9,25-34,Main Library,February,2013,email,True,2008,False,5,0.08,1242,0.09017713365539452
3889,JUVENILE,1,0,10-19,Mission,February,2015,print,False,2011,False,4,0.0,350,0.002857142857142857
2510,ADULT,73,71,35-44,Mission,February,2015,email,True,2012,False,3,0.97,350,0.20857142857142857
803,ADULT,20,14,35-44,Mission,February,2013,email,True,2011,False,2,0.7,350,0.05714285714285714
3770,ADULT,8,9,60-64,Mission,February,2014,phone,False,2012,False,2,1.12,350,0.022857142857142857
2249,ADULT,156,30,60-64,Mission,February,2013,email,True,2008,False,5,0.19,350,0.44571428571428573
3101,JUVENILE,6,0,0-9,Mission,February,2015,email,True,2010,False,5,0.0,350,0.017142857142857144
